genes,18996-S,18999-S,19151-S,19152-S,19153-S,19313-S,18996-L,18999-L,19151-L,19152-L,19153-L,19313-L
Nme4,4.251173788,2.534491322,11.7602102,7.664617131,0,9.63112006,49.10491416,190.3833464,96.98919816,64.45727853,30.48497095,223.5536281
Gm5637,0,0.969442931,0,1.294141123,0.272874918,8.747464794,6.735913225,145.8884906,15.9261702,11.3095913,14.01722414,56.5419239
Otud3,6.213253998,0.633622831,55.22185661,20.34071469,12.89954159,42.61770626,1.067498134,0,0,0.591351179,0,0
Mgme1,0.654026737,0.633622831,0,0.294792967,3.224885399,1.68544601,20.28246454,30.58790607,2.417176278,38.14215105,11.13873939,18.68880795
Gm6024,0,0,43.20598966,0,0,0,20.54933908,43.77234834,0,0,1.465623603,29.80746584
Edem2,39.89563094,47.52171229,1.472582843,46.57728872,40.74518667,0.782528505,0,0,147.447753,0,39.27871257,0
Gm5385,0.353174438,0,2.175638888,0,3.765673873,0.951073106,33.07109219,18.21826233,36.25764417,57.36106438,4.332383372,8.840515861
Rpl9-ps6,0,1.584057076,3.003966737,22.15663937,0,58.68241452,37.43182206,0,0,0,0,0
Tyrobp,0,0,0,0,0,1.68544601,10.67498134,12.92075343,0.60429407,28.97620778,1.172498883,17.26940481
Trdn,1.96208021,10.13796529,1.022626974,0,0.496136215,1.928631792,11.54232357,214.9116828,7.553675869,4.139458254,2.051873045,17.505972
Nono,34.66341704,61.46141456,54.91506852,36.25953489,183.3223315,33.81486253,2.668745335,3.691643836,11.78373436,0.29567559,15.24248548,33.82910806
Me1,0,0.633622831,0,0,5.457498367,0,2.217727373,3.691643836,5.438646626,33.11566603,39.27871257,9.699254758
Dlec1,41.1546324,68.70689163,9.487421753,110.1641316,96.82098239,19.92919518,3.029025955,36.06736028,0,3.725512429,74.91974736,0.473134378
U2af1l4,22.23690905,16.47419359,2.300910692,102.5113062,78.06703346,7.225747825,0.221505863,0,30.51685051,0,74.16055433,0
Gnal,29.02570657,19.92426991,11.54290197,29.0164717,34.23836021,7.165553324,1.812078082,3.362032779,1.314339601,0.969815934,12.41090067,2.465030112
Ints11,16.02365505,163.8263509,9.970612999,63.63400977,22.32612968,11.55734407,0.8006236,1.115403816,21.15029243,0,21.0932549,0
Frg2f1,0,0.316811415,0,0,0,0,6.671863337,10.28386497,1.812882209,21.58431804,2.931247207,0.946268757
Lrrc40,0,44.03678672,29.40052551,10.6125468,0.496136215,4.81556003,0,0.263688845,0,0,0.293124721,0
Sdr39u1,14.71560157,6.922329424,4.090507897,3.242722632,66.97838905,12.76123408,2.935619868,1.845821918,0,0,0,0
Mob2,117.3977992,50.68982644,17.38465856,75.17220648,47.38100855,15.8913481,4.803741602,0,71.30670021,0.29567559,86.76491732,0
Gbp8,45.71646889,0.316811415,56.31095434,0.294792967,23.56647022,3.498504362,0.426999254,0,0,0,4.100814842,0
Gm15794,10.79471129,24.72713096,112.294668,0.589585933,1.240340538,38.76525824,1.067498134,1.054755382,0,0,0.879374162,0
Kcnk7,3.597147052,58.92692324,17.89597205,8.254203065,0.496136215,7.464118046,12.80997761,0.791066536,0,0,0,0
Mmp19,0,0.316811415,0.766970231,0,0,3.407008721,11.72913575,7.153878376,2.565228325,1.182702358,11.43479535,45.67166155
Phax,3.92416042,91.87531043,0.511313487,9.728167897,22.07806158,43.09926227,0.266874533,0,10.27299918,0,1.465623603,0
Gm14418,6.890171671,4.292794677,0,37.93101101,32.42250166,23.79608989,0,0,1.003128155,0,0.993692803,0.704970224
Gm10571,2.289093578,127.0413775,139.0772685,15.0344413,3.472953506,91.73641857,52.57428309,6.32853229,0.60429407,0,2.638122486,0.473134378
Gm12713,0,2.851302737,0,0,0,2.167002013,45.63554522,0.527377691,0.906441104,64.45727853,2.344997766,73.09926147
Vmn1r80,8.786849207,4.337148275,9.54110967,2.73567873,0.756607728,11.45140175,46.01984455,24.52042573,401.8464918,6.5699116,51.56650086,48.13196032
Mest,0.696538475,0.316811415,0,0,0,0,12.20950991,97.30118396,1.208588139,0,2.752441127,6.15074692
Kif17,1.965350344,19.01818926,27.53934442,95.51292118,4.963842833,56.57801479,1.601247201,1.131225147,1.208588139,1.774053537,5.800938222,0.972291148
Gm7289,0,0,0,1.179171866,0,41.11043597,51.41604762,27.68732877,101.4458669,0,6.72721234,12.06492665
U2af1,11.73323966,9.821153873,12.44281371,26.53136699,22.8222659,14.91619719,0.533749067,2.109510763,2.115029243,1.774053537,13.19061243,1.241977743
Septin5,0,30.87644053,24.28739064,135.6460356,13.91662084,0,0,0,0,0,0,15.35794192
Gm28438,0,0.003168114,0,0,18.04695483,0,0,0,39.51781068,220.2487467,0,0
Nprl2,24.45078955,27.892077,1.354980741,42.74498016,22.59404324,4.035439305,0.272212024,0,3.625764417,0.89294028,12.31710076,0
Il18r1,2.943120315,0.842718365,0.667264101,2.956773455,2.530294697,32.27869888,55.27505337,66.97432985,31.12114458,5.322160612,12.61901923,75.73225429
Cox10,24.52600262,0.316811415,0,26.23657403,15.38022267,9.390342058,143.8453735,20.56772994,24.77605685,204.0161568,24.62247654,85.87625536
Eefsec,1.635066842,3.484925568,0,7.959410098,2.232612968,0,2.401870801,0.527377691,19.33741023,771.1219376,69.17743408,5.677612541
Cdkl1,18.31274863,113.4184867,128.3396853,61.31693705,42.66771451,11.55734407,10.14123227,25.05044031,2.115029243,2.661080306,39.86496201,0.236567189
Gm9795,15.87976917,0,184.2364757,0,13.50482778,11.91369551,0,10.14147299,0,0,0,0
Bex1,10.85030356,6.336228305,25.80599169,23.55690596,79.58024892,0.963112006,0,0,0.87018346,5.697668611,3.397315513,1.419403135
Fam20a,17.00469515,2.217679907,0.511313487,37.73349972,16.3724951,6.260228039,3.736243468,0,0,0,0.586249441,1.182835946
Mxi1,8.175334208,138.4465885,30.43082219,49.82001135,14.63601835,105.7015427,38.69680735,8.438043053,0,0,1.465623603,19.39850952
Umps,10.13741442,44.98722097,5.624448358,32.72201929,57.55180096,2.648558016,0,0,4.230058487,0.887026769,38.69246313,0
Map3k1,3.92416042,0,0,1.7687578,0.248068108,21.42924213,26.95432788,27.15995108,29.91255644,27.49782983,7.621242738,7.570150055
Mlycd,36.62549725,72.23300268,0.255656744,11.79171866,9.426588089,0,0,0,57.40793661,0,43.08933394,0
Nudt16l1,49.70603199,72.23300268,243.1295631,2.653136699,46.38873612,0,1.601247201,0.263688845,11.78373436,0,35.76121592,0
Sorbs3,4.251173788,6.653039721,61.86893194,130.2984912,21.08578915,0,0,0,0.60429407,2.956755896,53.05557445,0
Krt79,3.597147052,3.168114153,260.7698784,0.589585933,5.953634582,63.08383639,1.334372667,0,0.60429407,0,0.293124721,23.42015173
Cpn1,5.88624063,21.85998765,24.54304738,26.82615996,0.99227243,9.871898061,0.533749067,0.263688845,1.812882209,0,13.19061243,0.236567189
Pagr1a,46.68442846,17.83965079,0.766970231,71.92948385,35.89049381,3.577961102,0.2001559,0.527377691,8.061282888,0,104.7862252,0
2610528A11Rik,0.654026737,0,0,0,0,20.70690813,11.47560494,46.14554795,0.302147035,4.139458254,11.72498883,18.21567357
BC024139,9.061540436,12.83719855,10.6455468,74.86856972,0,20.36981893,0,0.996743836,0,0.552913352,1.037661511,2.427179361
Nat8f4,18.63976199,39.28461549,0,37.73349972,14.38795024,1.203890007,0,0,0,0,18.4668574,0
Inafm1,88.94763619,9.187531043,39.88245199,83.72120251,28.27976427,2.648558016,2.668745335,0,108.7729325,0.29567559,138.6479929,0
Csdc2,113.8627847,212.8149001,53.5191827,13.23915213,94.26588089,19.74379612,16.39410259,11.2595137,8.520546381,9.757294456,34.0581613,2.065231562
Fcgbp,34.31678287,36.0626434,420.9541677,25.65583188,44.18837201,109.6840108,25.33173072,4.933618298,10.15818331,4.062582601,31.79230721,12.26364309
Pdia4,51.99512556,3.801736983,24.28739064,18.86674986,38.45055668,7.704896048,3.469368935,0.791066536,2.719323313,1.182702358,2.638122486,12.53806103
Zfp956,7.521307472,20.59274199,1.022626974,18.5719569,62.26509501,7.223340045,4.803741602,0,24.17176278,0,2.931247207,0
Sftpd,265.5348551,61.77822598,125.5274611,142.9745888,109.6461036,86.68008054,20.28246454,4.219021527,275.2559487,0.887026769,41.0374609,12.06492665
Gm42453,0,0.316811415,0.766970231,0,0.248068108,0.430992623,22.8818225,26.81979247,0.794646701,0,6.744799823,22.95648004
Chaf1a,1.952269809,1.438323825,27.6032586,4.333456609,13.31381533,1.55542589,0.304236968,0.108112427,0.320275857,0.416902581,4.408595799,0
Nudt18,29.43120315,43.64394057,4.872817532,73.40639661,92.13001448,4.671093229,1.868121734,1.845821918,90.35404928,0.29567559,33.12895593,0
Gbp6,5.912401699,73.16759636,6.524360096,0.294792967,14.18453439,8.451307852,1.804071846,0.334884834,0.302147035,0,0.603836925,2.088888281
Agap3,14.71560157,2.534491322,0,207.2394555,63.75350365,0.722334004,0,0,18.73311616,0.29567559,54.22807333,0
Cemip,2.616106947,1.584057076,0,0,0.248068108,10.36308518,26.42057881,22.67724071,2.417176278,0,0.586249441,265.127946
Sntn,1.635066842,0.950434246,0.511313487,25.05740216,6.945907013,3.130114019,32.29181855,99.67438357,70.09811207,31.93296367,51.29682612,3.311940649
Slc38a5,0.660567004,0,2.106611567,0,0,2.167002013,1.718671995,0.266325734,80.06896421,409.1854484,1.758748324,30.27350321
Fam174c,38.58757746,341.2058942,2.045253948,68.98155418,185.8030126,10.59423207,8.006236004,4.219021527,94.26987485,0,53.05557445,0
Kcnk9,5.006574669,0.288298388,0.20963853,0.294792967,1.736476753,55.24892022,59.10470293,10.53964315,7.009811207,0.594307935,14.97574198,86.54574051
Nbl1,22.23690905,24.07766756,0,22.40426546,31.00851345,1.444668009,0.266874533,0,15.40949877,0,26.67434958,0
Sspo,26.8150962,80.15328806,6.391418589,46.28249575,5.457498367,7.704896048,1.067498134,0,0,0.887026769,22.27747877,7.570150055
Cmpk2,4.251173788,2.534491322,0.766970231,1.7687578,5.705566475,1.68544601,18.94809188,10.02017613,17.82667505,4.730809433,28.13997319,23.42015173
Glt1d1,25.50704273,0.316811415,7.664589172,0.294792967,0,2.648558016,30.86137105,11.49683366,136.6792326,8.574592097,0.586249441,8.752986001
Col7a1,40.87667104,73.18343693,0.511313487,9.728167897,9.426588089,1.444668009,0.533749067,0,3.323617382,0,12.60436299,0
Sap25,24.49003115,102.0607974,0,86.38613093,187.7900381,0.722334004,0.266874533,0,112.6978225,0.124183748,9.377059815,0.416358253
Hps1,28.77717641,3.168114153,0.253100176,57.18983552,35.47373939,100.8859826,0.8006236,0.263688845,0.60429407,0,67.71181048,0
Hsdl1,147.1560157,102.0132757,118.1134155,178.9393307,195.973805,38.52448024,42.43305082,8.438043053,7.855822904,0.591351179,59.79744302,60.56120044
Fam186b,0.654026737,2.217679907,0,0.294792967,0.496136215,1.926224012,24.81933161,41.39914873,0,0,8.5006169,45.42090033
Psmb2,21.90989568,8.237096797,0,24.46781623,36.96214803,0,0,0,20.54599836,0,9.379991062,0
Mrps12,37.60653736,118.8042807,28.37789853,66.62321045,193.2450558,0.240778001,1.067498134,0.791066536,9.064411043,23.65404717,32.536844,0
C1qtnf5,31.39328336,6.01941689,2.045253948,0.8843789,29.76817291,21.18846413,4.536867069,0,0,0,36.64059009,0
Ganab,3.597147052,51.32344927,0,25.94178106,65.2419123,11.55734407,0.266874533,0,9.064411043,0,32.536844,0
Ehd3,0.333553636,1.463668739,0,0,5.698124431,21.88912812,52.8278139,78.87724433,0.912484045,1.162005067,9.110316319,36.55199641
Pgap4,6.213253998,8.870719627,14.82809113,111.4317414,10.66692863,2.407780015,0.266874533,0.527377691,6.042940695,0,16.12185964,0
Tor1a,0,0,22.49779343,0.589585933,0,0,34.96056388,94.6642955,1.812882209,0,0,6.15074692
Catip,15.04261494,1.584057076,0.511313487,75.46699945,54.57498367,9.390342058,1.334372667,0,0,2.661080306,93.5067859,1.182835946
Abi3bp,0.654026737,0.633622831,1.533940461,0.294792967,1.240340538,16.1321261,6.13811427,73.04181018,5.136499591,4.730809433,2.931247207,60.32463325
Plec,360.0417185,682.4086204,390.1347472,725.1906978,647.7058289,241.5027433,160.9253437,101.2565166,257.7344421,81.90213831,300.4528387,15.3768673
C1d,0.327013368,1.267245661,0,6.485445265,21.08578915,0.240778001,3.469368935,15.55764188,4.230058487,61.50052263,2.638122486,44.0014972
Sharpin,4.905200525,8.553908212,0.255656744,53.35752695,38.94669289,30.09725019,0.533749067,1.060029159,0.305168505,0,17.29435852,0
Rnf216,5.88624063,12.03883378,82.57712817,64.55965968,53.58271124,41.89537226,7.205612403,2.9005773,5.136499591,0.29567559,13.19061243,9.699254758
Myh7,269.1679736,142.5746412,42.61797915,124.9951658,162.8294251,87.15200542,36.26558035,149.5247598,13.41532834,8.624856948,64.90074441,17.12983017
4931428F04Rik,72.15876986,5.091159443,0.212195097,26.63749246,0,12.50119384,2.335152168,0,1.9156122,0,0,0
Ndufs5,22.40368586,33.84179538,0,8.254203065,28.03169616,15.26773307,0,0.263688845,26.89108609,0,2.638122486,1.892537514
Mettl23,21.2133572,22.49361048,20.70819623,26.46356461,34.3971238,0.722334004,0.8006236,0.382348826,15.40949877,3.843782664,4.70172052,0.236567189
Edn1,275.9992829,31.36433011,127.8283718,235.5395803,236.1608384,32.7458082,14.94497387,1.582133072,126.5996076,9.461618866,105.8180242,15.14030011
Gdpd2,4.905200525,12.3556452,0,17.98237096,57.05566475,0,0,0,15.71164581,0,5.569369693,0
Kcnj3,0.654026737,0,0,0.294792967,0.248068108,33.46814221,30.79198367,3.430591879,10.62348974,0.292718834,10.84561467,15.43837477
Mmp3,11.77248126,3.168114153,26.33264459,0.294792967,0,124.0006708,110.4860569,23.46830724,106.0536092,27.79350542,4.689995531,65.29254423
Rai2,0.981040105,4.118548398,0,2.063550766,3.472953506,60.91683438,130.2347723,28.74208415,2.417176278,70.9621415,10.84561467,19.63507671
Derl3,1.308053473,50.37301503,0,28.59491776,56.31146042,0.481556003,0,0,93.66558078,0,37.51996425,0
Adgrg1,57.22733946,20.59274199,0,48.64083949,32.49692209,3.370892021,0.266874533,1.054755382,30.81899755,0,24.62247654,0
Gpsm1,0,3.484925568,0,0,0.248068108,0,6.404988803,0,20.03234841,5.913511791,6.448743855,5.677612541
Prdm1,2.616106947,2.851302737,0,3.537515599,1.984544861,32.0234742,31.22432042,113.9135812,3.927911452,22.17566922,2.051873045,66.71194736
Myrfl,0,0,0,0,0,2.889336018,2.401870801,60.64843444,0,71.55349268,0.586249441,25.07612206
Card11,0,0,0,0,0.248068108,1.68544601,19.21496641,80.42509785,1.812882209,0,0,67.18508174
Slc39a6,147.4830291,193.8885861,0,2.947929666,39.69089722,2.648558016,3.469368935,0,1.208588139,0.29567559,3.810621369,0
Siva1,0,1.267245661,0,24.46781623,0.496136215,0,0.533749067,0,12.38802843,396.5009656,14.65330479,3.07537346
Trip6,38.26056409,21.54317624,0.766970231,18.27716393,29.2720367,87.64319254,0,11.6023092,17.82667505,0,7.328118017,0
Gm9703,3.044494459,20.84935924,0,0.341959841,0.280316962,14.29739773,47.59707304,12.52785705,2.643786554,105.2486829,24.20623943,4.277134781
Idua,0.313932834,13.30607944,22.01971532,13.2656835,56.80759664,0.483963783,0,0.263688845,3.625764417,0,3.810621369,1.007776226
Gmppb,24.64372744,214.7189367,0.945929951,16.73539671,166.9051842,138.3775252,1.256979053,9.74066595,126.2370311,0.354810707,118.5660183,0.473134378
Abhd4,0,0,0,16.21361316,7.442043228,0.722334004,10.94185587,39.02594912,8.762264008,9.461618866,9.379991062,6.387314109
Nbeal2,9.156374313,37.06376747,2.045253948,3.832308566,12.65147349,0.240778001,0,2.636888454,0,0,1.172498883,1.419403135
Mrm1,0.327013368,38.01736983,0,8.843788998,8.434315658,15.4097921,0,0.263688845,48.04137853,0,4.689995531,0
Dapk2,2.289093578,0,5.624448358,89.91185481,0,12.27967808,20.28246454,6.064843444,12.69017546,43.16863608,51.58995084,174.8231528
Cenpx,1.635066842,14.89013652,0,11.4969257,53.08657503,1.444668009,0,0,15.10735174,0,20.51873045,0
Orai3,35.97474065,15.52375935,0,50.64248373,149.3370008,10.59423207,3.197156911,1.845821918,2.417176278,0.887026769,19.03258811,0.709701568
Gm46103,19.29378873,14.25651369,9.714956255,15.9188202,0.248068108,34.67203222,2.134996268,3.164266145,0,0,11.13873939,0.946268757
C4b,0.654026737,98.21153873,1.278283718,10.90733976,8.682383766,0.240778001,80.86298364,1.845821918,21.45243947,294.7885628,21.39810461,4.967910974
Dydc2,10.46442779,6.653039721,0.511313487,25.94178106,55.81532421,0,0,0,0.60429407,0,6.155619135,0
Zfp719,60.82448651,167.2764273,60.07933474,56.30545662,39.93896532,82.58685451,45.63554522,1.582133072,0.302147035,0.29567559,55.98682165,88.00299439
Gm6763,0.555922726,0,0,0.589585933,0.372102161,2.443896715,6.861344255,5.450448435,0,28.3848566,6.519093788,9.38935174
Gm8764,0.555922726,0,0,0.589585933,0.372102161,2.443896715,6.861344255,5.450448435,0,28.3848566,6.519093788,9.38935174
Mospd2,0,9.821153873,9.459299512,0.294792967,0,15.4097921,27.22120241,49.04612525,12.38802843,4.730809433,4.983120252,48.02313941
Ccdc88a,1.635066842,1.267245661,0,0.589585933,0.99227243,11.07578807,38.96368189,74.36025441,1.510735174,0.29567559,6.155619135,35.24851119
Cyb561,189.6677536,522.1052124,9.203642768,588.7015543,498.8649644,56.82360835,27.48807695,15.29395303,174.6409861,13.60107712,304.2634601,2.365671892
Slc39a11,73.57800787,12.03883378,0.255656744,38.91267159,5.209430259,0,0.8006236,0,0,1.478377948,1.758748324,0
Irf7,57.55435283,14.89013652,0,9.138581964,22.07806158,18.29912811,2.935619868,1.318444227,17.82667505,0,1.758748324,0
Fahd2a,90.9097164,47.83852371,78.23096353,135.0151787,67.97066148,43.82159627,12.00935401,12.92075343,25.98464499,19.21891332,88.52366565,2.838806271